"item_id","speaker","category","english","ms","ta","zh","my","th","id","hi","fil","vi"
"MED-026","doctor","dosage instructions","Take one tablet three times a day after meals, and finish the whole course of antibiotics.","Ambil satu biji tablet tiga kali sehari selepas makan, dan habiskan semua ubat antibiotik.","ஒரு மாத்திரையை ஒரு நாளைக்கு மூன்று வேளை சாப்பாட்டுக்குப் பிறகு எடுத்துக்கொள்ளுங்கள், ஆன்டிபயாடிக் மருந்து முழுவதையும் முடித்துவிடுங்கள்.","每次吃一粒，一天三次，饭后吃，而且要把整个疗程的抗生素吃完。","တစ်နေ့ သုံးကြိမ် အစာစားပြီးတိုင်း တစ်လုံးစီ သောက်ပါ၊ ပဋိဇီဝဆေးကိုလည်း အကုန်ကုန်အောင် သောက်ပါ။","กินยาครั้งละหนึ่งเม็ด วันละสามครั้งหลังอาหาร และกินยาปฏิชีวนะให้หมดทั้งคอร์ส","Minum satu tablet tiga kali sehari sesudah makan, dan habiskan semua antibiotiknya.","एक गोली दिन में तीन बार खाने के बाद लें, और एंटीबायोटिक का पूरा कोर्स ख़त्म करें।","Uminom kayo ng isang tableta nang tatlong beses sa isang araw pagkatapos kumain, at tapusin ninyo ang buong kurso ng antibiotic.","Anh uống một viên, ngày ba lần sau bữa ăn, và uống hết cả đợt thuốc kháng sinh."
"MED-027","doctor","side effects","This medicine may make you feel sleepy, so don't drive or operate machinery after taking it.","Ubat ini mungkin buat anda rasa mengantuk, jadi jangan memandu atau mengendalikan mesin selepas makan ubat ini.","இந்த மருந்து உங்களுக்குத் தூக்கக் கலக்கத்தை ஏற்படுத்தலாம், அதனால் இதை எடுத்துக்கொண்ட பிறகு வாகனம் ஓட்டவோ இயந்திரங்களை இயக்கவோ வேண்டாம்.","这个药可能会让您想睡觉，所以吃了以后不要开车，也不要操作机器。","ဒီဆေးက အိပ်ချင်စေနိုင်တယ်၊ ဒါကြောင့် သောက်ပြီးရင် ကားမမောင်းပါနဲ့၊ စက်ယန္တရားတွေလည်း မကိုင်ပါနဲ့။","ยานี้อาจทำให้คุณง่วงนอน เพราะฉะนั้นหลังกินยาอย่าขับรถหรือทำงานกับเครื่องจักร","Obat ini bisa membuat Anda mengantuk, jadi jangan menyetir atau mengoperasikan mesin setelah meminumnya.","इस दवा से आपको नींद आ सकती है, इसलिए इसे लेने के बाद गाड़ी न चलाएँ और न ही कोई मशीन चलाएँ।","Maaaring antukin kayo sa gamot na ito, kaya huwag kayong magmaneho o magpaandar ng makina pagkatapos ninyo itong inumin.","Thuốc này có thể làm anh buồn ngủ, nên sau khi uống thì đừng lái xe hay vận hành máy móc."
"MED-028","patient","drug interaction","Can I take this medicine together with my blood pressure pills?","Bolehkah saya makan ubat ini bersama dengan ubat darah tinggi saya?","இந்த மருந்தை என் இரத்த அழுத்த மாத்திரைகளுடன் சேர்த்து எடுத்துக்கொள்ளலாமா?","这个药可以和我的血压药一起吃吗？","ဒီဆေးကို ကျွန်တော့်သွေးတိုးဆေးတွေနဲ့ တွဲသောက်လို့ ရလား။","ผมกินยานี้พร้อมกับยาความดันของผมได้ไหม","Apakah saya boleh minum obat ini bersamaan dengan obat tekanan darah saya?","क्या मैं यह दवा अपनी ब्लड प्रेशर की गोलियों के साथ ले सकता हूँ?","Puwede ko po bang inumin ang gamot na ito kasabay ng mga gamot ko sa blood pressure?","Tôi có thể uống thuốc này cùng với thuốc huyết áp của tôi không?"
"MED-029","patient","medical certificate","Can you give me a medical certificate for two days? My employer needs it.","Boleh doktor beri saya sijil cuti sakit untuk dua hari? Majikan saya memerlukannya.","எனக்கு இரண்டு நாட்களுக்கு மருத்துவச் சான்றிதழ் கொடுக்க முடியுமா? என் முதலாளிக்கு அது தேவைப்படுகிறது.","您可以给我开两天的病假单吗？我的雇主需要。","ကျွန်တော့်ကို နှစ်ရက်စာ ဆေးလက်မှတ် ပေးလို့ရမလား။ ကျွန်တော့်အလုပ်ရှင်က လိုတယ်။","คุณหมอออกใบรับรองแพทย์สองวันให้ผมได้ไหม นายจ้างของผมต้องใช้","Bisakah Dokter memberi saya surat keterangan sakit untuk dua hari? Majikan saya memerlukannya.","क्या आप मुझे दो दिन का मेडिकल सर्टिफ़िकेट दे सकते हैं? मेरे एम्प्लॉयर को यह चाहिए।","Puwede po ba ninyo akong bigyan ng medical certificate para sa dalawang araw? Kailangan po ito ng employer ko.","Bác sĩ có thể cho tôi giấy nghỉ bệnh hai ngày được không? Công ty tôi cần giấy đó."
"MED-030","patient","vaccination / pregnancy","I'm 20 weeks pregnant. Is it safe for me to get the flu vaccine?","Saya mengandung 20 minggu. Adakah selamat untuk saya ambil vaksin selesema?","நான் 20 வாரம் கர்ப்பமாக இருக்கிறேன். நான் ஃப்ளூ தடுப்பூசி போட்டுக்கொள்வது பாதுகாப்பானதா?","我怀孕20周了。我打流感疫苗安全吗？","ကျွန်မ ကိုယ်ဝန် 20 ပတ် ရှိပြီ။ တုပ်ကွေးကာကွယ်ဆေး ထိုးလို့ စိတ်ချရလား။","ดิฉันตั้งครรภ์ได้ 20 สัปดาห์แล้ว ฉีดวัคซีนไข้หวัดใหญ่จะปลอดภัยสำหรับดิฉันไหม","Saya sedang hamil 20 minggu. Apakah aman bagi saya untuk mendapat vaksin flu?","मैं 20 हफ़्ते की प्रेग्नेंट हूँ। क्या मेरे लिए फ़्लू का टीका लगवाना सुरक्षित है?","20 linggo na po akong buntis. Ligtas po ba para sa akin na magpa-flu vaccine?","Tôi đang mang thai 20 tuần. Tôi tiêm vắc-xin cúm có an toàn không?"
"MED-031","patient","medication refill","I'm running out of my regular medicine. Can I get a refill without seeing the doctor?","Ubat biasa saya sudah hampir habis. Bolehkah saya ambil ubat lagi tanpa berjumpa doktor?","என் வழக்கமான மருந்து தீரப்போகிறது. நான் மருத்துவரைப் பார்க்காமலேயே மீண்டும் மருந்து வாங்க முடியுமா?","我平时吃的药快吃完了。我可以不看医生，直接再拿药吗？","ကျွန်တော် ပုံမှန်သောက်နေတဲ့ဆေး ကုန်တော့မယ်။ ဆရာဝန်နဲ့ မတွေ့ဘဲ ဆေးထပ်ယူလို့ ရမလား။","ยาประจำของผมใกล้จะหมดแล้ว ผมขอรับยาเพิ่มโดยไม่ต้องพบหมอได้ไหม","Obat rutin saya hampir habis. Apakah saya bisa mengambil obat lagi tanpa bertemu dokter?","मेरी रोज़ की दवा ख़त्म होने वाली है। क्या मुझे डॉक्टर से मिले बिना दवा दोबारा मिल सकती है?","Nauubusan na po ako ng regular kong gamot. Puwede po ba akong makakuha ng refill nang hindi nagpapatingin sa doktor?","Thuốc tôi thường uống sắp hết rồi. Tôi có thể lấy thêm thuốc mà không cần gặp bác sĩ không?"
"MED-032","doctor","safety-netting","If the fever doesn't go down in three days or you feel worse, please come back immediately.","Kalau demam tidak turun dalam tiga hari atau anda rasa lebih teruk, sila datang semula dengan segera.","மூன்று நாட்களில் காய்ச்சல் குறையாவிட்டாலோ, உங்கள் உடல்நிலை மேலும் மோசமானாலோ, தயவுசெய்து உடனே திரும்பி வாருங்கள்.","如果三天内烧还没退，或者您觉得更不舒服，请马上回来。","သုံးရက်အတွင်း အဖျားမကျရင် ဒါမှမဟုတ် ပိုဆိုးလာတယ်လို့ ခံစားရရင် ချက်ချင်း ပြန်လာပါ။","ถ้าไข้ไม่ลดภายในสามวัน หรือคุณรู้สึกแย่ลง กรุณากลับมาทันที","Kalau demamnya tidak turun dalam tiga hari atau Anda merasa lebih buruk, tolong segera datang kembali.","अगर तीन दिन में बुखार न उतरे या आपकी तबीयत और बिगड़ जाए, तो कृपया तुरंत वापस आएँ।","Kung hindi bumaba ang lagnat sa loob ng tatlong araw o lumala ang pakiramdam ninyo, pakiusap, bumalik kayo kaagad.","Nếu trong ba ngày mà sốt không hạ hoặc anh thấy tệ hơn, thì anh hãy quay lại ngay."
"MED-033","doctor","specialist referral","I'll refer you to the hospital for an X-ray and a specialist review of your knee.","Saya akan rujuk anda ke hospital untuk X-ray dan pemeriksaan oleh pakar bagi lutut anda.","உங்கள் முழங்காலுக்கு எக்ஸ்-ரே மற்றும் சிறப்பு மருத்துவர் பரிசோதனைக்காக உங்களை மருத்துவமனைக்குப் பரிந்துரைக்கிறேன்.","我会把您转介到医院，给您的膝盖照X光，并让专科医生检查。","ဒူးကို ဓာတ်မှန်ရိုက်ဖို့နဲ့ အထူးကုဆရာဝန်နဲ့ စစ်ဆေးဖို့ ဆေးရုံကို လွှဲပေးပါမယ်။","หมอจะส่งตัวคุณไปโรงพยาบาลเพื่อเอกซเรย์และให้แพทย์เฉพาะทางตรวจเข่าของคุณ","Saya akan merujuk Anda ke rumah sakit untuk rontgen dan pemeriksaan lutut Anda oleh dokter spesialis.","मैं आपके घुटने के एक्स-रे और स्पेशलिस्ट से जाँच के लिए आपको अस्पताल रेफ़र करूँगा।","Ire-refer ko kayo sa ospital para sa X-ray at para matingnan ng espesyalista ang tuhod ninyo.","Tôi sẽ chuyển anh đến bệnh viện để chụp X-quang và để bác sĩ chuyên khoa khám đầu gối cho anh."
"MED-034","patient","sleep / anxiety","I haven't been able to sleep well for a month, and I feel stressed and anxious all the time.","Sudah sebulan saya tidak dapat tidur dengan nyenyak, dan saya rasa tertekan dan cemas sepanjang masa.","ஒரு மாதமாக என்னால் சரியாகத் தூங்க முடியவில்லை, எனக்கு எப்போதும் மன அழுத்தமாகவும் பதற்றமாகவும் இருக்கிறது.","我已经有一个月睡不好了，而且总是觉得压力很大，很焦虑。","ကျွန်တော် တစ်လရှိပြီ ကောင်းကောင်း အိပ်မပျော်ဘူး၊ အချိန်တိုင်း စိတ်ဖိစီးပြီး စိတ်ပူပန်နေတယ်။","ผมนอนไม่ค่อยหลับมาหนึ่งเดือนแล้ว และรู้สึกเครียดและกังวลตลอดเวลา","Sudah sebulan saya tidak bisa tidur nyenyak, dan saya merasa stres dan cemas terus-menerus.","मैं एक महीने से ठीक से सो नहीं पा रहा हूँ, और मुझे हर समय तनाव और घबराहट महसूस होती है।","Isang buwan na po akong hindi makatulog nang maayos, at palagi po akong stressed at balisa.","Đã một tháng nay tôi không ngủ ngon được, và lúc nào tôi cũng thấy căng thẳng và lo lắng."
"MED-035","doctor","lifestyle advice","Try to cut down on sugar and salt, and exercise for at least 30 minutes most days.","Cuba kurangkan gula dan garam, dan bersenam sekurang-kurangnya 30 minit hampir setiap hari.","சர்க்கரையையும் உப்பையும் குறைத்துக்கொள்ள முயற்சி செய்யுங்கள், பெரும்பாலான நாட்களில் குறைந்தது 30 நிமிடங்கள் உடற்பயிற்சி செய்யுங்கள்.","尽量少吃糖和盐，并且大部分日子都运动至少30分钟。","သကြားနဲ့ ဆားကို လျှော့စားပြီး ရက်အများစုမှာ အနည်းဆုံး 30 မိနစ် လေ့ကျင့်ခန်းလုပ်ဖို့ ကြိုးစားပါ။","พยายามลดน้ำตาลและเกลือ และออกกำลังกายอย่างน้อย 30 นาทีเกือบทุกวัน","Coba kurangi gula dan garam, dan berolahraga setidaknya 30 menit hampir setiap hari.","चीनी और नमक कम करने की कोशिश करें, और ज़्यादातर दिनों में कम से कम 30 मिनट एक्सरसाइज़ करें।","Subukan ninyong bawasan ang asukal at asin, at mag-ehersisyo nang hindi bababa sa 30 minuto halos araw-araw.","Anh cố gắng ăn bớt đường và muối, và tập thể dục ít nhất 30 phút vào hầu hết các ngày."
